Predicted Winner,Underdog
DePaul,Southern Indiana
New Orleans,Samford
Mississippi,Troy
Bethune-Cookman,Missouri KC
Hardin-Simmons,N Colorado
E Kentucky,Mercyhurst
Denver,W Salem St
Ark Pine Bluff,Tennessee St
C Michigan,South Dakota
Armstrong St,St Bonaventure
SC Upstate,Abilene Chr
Georgia St,New Orleans
Massachusetts,Minnesota
St John's,Portland
BYU,North Dakota
Seton Hall,William & Mary
Michigan St,Kennesaw
Dayton,Northern Iowa
Niagara,Minnesota
St John's,Oakland
Kent,Lindenwood
Cleveland St,Bellarmine
UAB,Quinnipiac
G Washington,UCF
Northwestern LA,Valparaiso
Washington St,Winthrop
Utica,Hawaii
Syracuse,WKU
St Peter's,Oakland
Evansville,Okla City
USC,Citadel
Chicago St,Georgetown
Northwestern LA,Lipscomb
Ohio St,SIUE
Stetson,UNC Asheville
Houston,American Univ
Winthrop,Longwood
Wright St,Vanderbilt
Wichita St,William & Mary
American Univ,Wyoming
Bucknell,Bellarmine
Grambling,Florida St
Centenary,Southern Indiana
Colorado,Butler
Monmouth NJ,Georgia Tech
New Hampshire,Montana St
Fordham,Stetson
W Michigan,North Florida
N Kentucky,San Jose St
Georgia,MD E Shore
Kansas St,Incarnate Word
Davidson,UC Santa Barbara
Purdue,Grand Canyon
Morgan St,W Carolina
Coastal Car,Old Dominion
Colorado St,Loyola MD
Texas,Northern Iowa
Fairfield,Missouri
Temple,Cal Poly
UMBC,Hawaii
S Illinois,Alabama
South Alabama,Arkansas
NC Central,MS Valley St
SF Austin,Cincinnati
Missouri St,NJIT
Charlotte,Loy Marymount
Kansas,Notre Dame
W Michigan,E Michigan
Washington St,Michigan St
Davidson,WI Milwaukee
Butler,Drake
Ark Little Rock,VCU
UTEP,South Dakota
Vanderbilt,Southern Miss
W Texas A&M,LSU
Manhattan,LIU Brooklyn
Northern Iowa,Ohio St
Tennessee,Tarleton St
Bucknell,Arizona
San Francisco,Elon
E Michigan,Bryant
Cal Poly,North Dakota
Utah,UNC Greensboro
Kennesaw,Presbyterian
Wagner,Alabama St
Wyoming,Toledo
Morgan St,Incarnate Word
Murray St,Wright St
Miami FL,Yale
Radford,Norfolk St
Elon,Hampton
Villanova,N Dakota St
Loyola-Chicago,E Washington
UC Irvine,Missouri St
Villanova,Indiana
Colorado St,St Louis
Creighton,Long Beach St
Lipscomb,NE Illinois
Le Moyne,Rice
MTSU,Rider
Alabama A&M,E Michigan
Villanova,Iowa St
Texas St,Butler
Auburn,Michigan
Mississippi St,UAB
Coppin St,New Hampshire
Utah Tech,William & Mary
Miami FL,Longwood
NE Omaha,Connecticut
St Thomas MN,Butler
W Salem St,San Diego St
SUNY Albany,Duke
Houston Chr,Toledo
Elon,TN Martin
Chicago St,Washington St
UT San Antonio,Lipscomb
Colgate,N Illinois
Brown,UT San Antonio
SE Missouri St,Ark Pine Bluff
Pittsburgh,American Univ
Gardner Webb,USC
Harvard,Hofstra
UNC Wilmington,Central Conn
Marshall,Massachusetts
James Madison,Memphis
Louisiana Tech,VMI
G Washington,W Texas A&M
Cal Poly,FGCU
South Dakota,Navy
Wagner,UT Arlington
Alliant Intl,WI Green Bay
Savannah St,UC Riverside
Missouri St,Mississippi St
Queens NC,Illinois
TAM C. Christi,Rice
Florida,Georgia St
FGCU,Oregon St
Northwestern LA,E Kentucky
Notre Dame,UNLV
Lindenwood,Santa Clara
E Washington,Kent
Lehigh,Richmond
CS Fullerton,Kennesaw
Idaho St,Evansville
Quinnipiac,E Illinois
IUPUI,Pepperdine
Nicholls St,Murray St
California,Memphis
Minnesota,Illinois
McNeese St,Arizona
NC State,North Alabama
Campbell,Vermont
Gardner Webb,San Diego
Idaho,Southern Univ
Texas Tech,Alliant Intl
San Diego St,Queens NC
George Mason,Alabama
WKU,Georgia
Delaware,Long Beach St
Northwestern,San Jose St
Iowa St,Northern Arizona
St Louis,Mississippi
West Georgia,Monmouth NJ
New Mexico,Colorado St
Stonehill,South Dakota
Boston Univ,Queens NC
Bellarmine,UTRGV
American Univ,Radford
Robert Morris,Queens NC
Columbia,TN Martin
Cornell,Creighton
Stanford,Longwood
SE Louisiana,Navy
Richmond,Col Charleston
Oklahoma St,Pittsburgh
Utah St,TCU
UC Irvine,Longwood
Ga Southern,Bryant
Lindenwood,Rice
Old Dominion,Columbia
Dartmouth,Louisville
Drexel,Marist
Robert Morris,Wright St
Virginia,Montana St
Utah Valley,Southern Univ
Akron,Ball St
Florida A&M,Army
NC State,Loyola-Chicago
Marshall,Villanova
Indiana,PFW
Davidson,USC
Iona,Quinnipiac
SF Austin,Towson
Ball St,Weber St
Indiana St,Mercer
Clemson,Grand Canyon
Grand Canyon,UC San Diego
Iowa,FL Atlantic
New Hampshire,Iowa
Duquesne,Wake Forest
Gonzaga,San Francisco
W Carolina,Miami FL
Marshall,UC Irvine
MA Lowell,Pacific
Oregon,Fordham
Temple,Houston Chr
Cornell,Bradley
Charleston So,Grambling
Missouri KC,Arkansas St
St Peter's,Fordham
Prairie View,Niagara
Lafayette,Fairfield
Oregon St,Weber St
Temple,Mercyhurst
Bradley,American Univ
Wright St,Indiana
Monmouth NJ,N Dakota St
W Michigan,PFW
Northern Arizona,Kentucky
Rice,E Washington
Duquesne,Norfolk St
Vanderbilt,Pepperdine
Butler,Toledo
Texas A&M,Citadel
Dartmouth,Coastal Car
Texas St,Sam Houston St
Quinnipiac,Temple
New Mexico St,Rutgers
Jackson St,St Thomas MN
Northeastern,St Thomas MN
Ohio St,Grand Canyon
Detroit,Fairfield
New Mexico St,South Carolina
Columbia,Charleston So
Marist,Gardner Webb
Ga Southern,CS Northridge
North Alabama,Duquesne
W Carolina,W Texas A&M
North Dakota,Mercyhurst
Columbia,Hardin-Simmons
Hartford,Northern Arizona
Maine,Drake
Elon,New Hampshire
Detroit,Chattanooga
Yale,Georgia
Colgate,Rhode Island
FGCU,Radford
Col Charleston,N Dakota St
Charlotte,Connecticut
Loyola-Chicago,Fairfield
South Alabama,Portland St
SE Missouri St,Mt St Mary's
Ark Little Rock,Texas A&M
Holy Cross,American Univ
Montana St,UC Santa Barbara
Samford,South Carolina
Nevada,UNC Greensboro
Wichita St,Valparaiso
Birmingham So,Winthrop
Iowa St,Drake
TN Martin,N Colorado
Cent Arkansas,Holy Cross
Troy,Tulane
Le Moyne,UMBC
Loyola MD,Lipscomb
Grand Canyon,UC Davis
Creighton,UCF
Miami FL,Louisiana
Rider,UCF
East Carolina,Nevada
Stetson,Rhode Island
Memphis,Seton Hall
Buffalo,Savannah St
Oregon St,Penn St
Rutgers,NC Central
Lipscomb,Hartford
New Orleans,Virginia Tech
S Dakota St,Texas St
St Mary's CA,UT Arlington
Nicholls St,Hofstra
NJIT,South Carolina
UNLV,San Diego St
Fresno St,Arizona St
Lipscomb,Mt St Mary's
Illinois,Florida Intl
Miami FL,Penn
MTSU,Augusta
NE Illinois,DePaul
North Alabama,Portland St
W Carolina,Penn St
Cent Arkansas,Le Moyne
North Florida,Texas A&M
Toledo,Tulsa
CS Northridge,Seattle
MS Valley St,TX Southern
Delaware,Michigan St
Incarnate Word,Washington
Ga Southern,Indiana
W Texas A&M,MD E Shore
Rice,St Louis
CS Northridge,Tennessee Tech
UNC Greensboro,UNLV
Memphis,Illinois
Elon,TN Martin
Indiana,Alabama St
Iowa,Montana St
Hofstra,Tulsa
Ark Pine Bluff,Colgate
E Michigan,Radford
BYU,Oakland
Marist,Manhattan
UNC Wilmington,Iona
Harvard,Col Charleston
SUNY Albany,S Dakota St
Campbell,Bellarmine
Evansville,Florida Intl
Portland St,Iowa
Cent Arkansas,Binghamton
Northern Iowa,California
Cincinnati,UNC Wilmington
Missouri St,Ark Pine Bluff
UMBC,S Carolina St
Hawaii,G Washington
E Kentucky,IUPUI
Appalachian St,Murray St
Cleveland St,NE Omaha
Arizona,Seton Hall
Utah St,Southern Univ
Iowa St,G Washington
Delaware St,E Illinois
Detroit,Loy Marymount
Lipscomb,Oregon St
Rice,Wright St
Temple,W Texas A&M
Toledo,Lamar
UTEP,WI Green Bay
Hampton,North Florida
Oral Roberts,Hofstra
Northwestern,Savannah St
West Georgia,Rider
Troy,Citadel
Rider,Central Conn
Niagara,Delaware St
McNeese St,New Mexico
Arizona,Rhode Island
Winthrop,Grambling
Georgia St,W Illinois
Memphis,Ball St
UT Arlington,San Francisco
Massachusetts,Marist
Armstrong St,Chicago St
Missouri KC,Hartford
NC Central,Nebraska
Mississippi,Texas St
Wright St,SE Missouri St
Northern Arizona,Samford
Clemson,Quinnipiac
Ohio St,Miami FL
Marquette,South Alabama
Northwestern,Alabama
West Georgia,Oregon
Loyola-Chicago,G Washington
Connecticut,St John's
Jackson St,Syracuse
Wisconsin,Cornell
St Bonaventure,TCU
Winthrop,Missouri KC
Gonzaga,Dartmouth
Southern Utah,Villanova
Texas Tech,TAM C. Christi
Oakland,Tulane
George Mason,Michigan St
San Jose St,Old Dominion
Butler,Manhattan
WKU,Stonehill
Santa Clara,Air Force
UNLV,Oregon
UC Davis,Richmond
SF Austin,NJIT
DePaul,Missouri St
N Illinois,Rice
UC Riverside,Baylor
Wofford,Air Force
Oregon,MA Lowell
Idaho,Hofstra
Bowling Green,Birmingham So
Maryland,SMU
William & Mary,Monmouth NJ
Norfolk St,E Michigan
Savannah St,Tarleton St
George Mason,Akron
Michigan,Marshall
UTRGV,UC San Diego
MTSU,Armstrong St
Stetson,Tarleton St
Utah,Rider
WI Green Bay,Cornell
PFW,McNeese St
Utah St,Arizona St
Radford,VCU
Cal Baptist,St Peter's
Armstrong St,Lafayette
SE Louisiana,Akron
San Jose St,North Florida
South Carolina,MA Lowell
Montana,Xavier
FL Atlantic,SMU
Virginia,Quinnipiac
Pacific,La Salle
Virginia Tech,Charleston So
Tennessee St,Charlotte
Air Force,Houston Chr
Buffalo,WKU
American Univ,MS Valley St
Queens NC,Stetson
Colorado,Binghamton
Brown,North Alabama
Binghamton,UNC Wilmington
Alabama A&M,Robert Morris
Siena,St Francis PA
USC,Georgetown
Marist,UNC Wilmington
Northeastern,Rhode Island
E Michigan,Hawaii
Utica,Gardner Webb
Iowa St,UAB
Liberty,Arkansas St
St Bonaventure,Marist
Dayton,Loyola MD
Denver,Kent
N Illinois,TCU
Le Moyne,Virginia
Missouri KC,Valparaiso
UTRGV,W Carolina
Gonzaga,NE Omaha
South Carolina,San Francisco
UC Irvine,W Illinois
Air Force,FL Atlantic
Detroit,George Mason
Ohio St,Ark Pine Bluff
MTSU,Tarleton St
UC Riverside,NJIT
Kentucky,South Alabama
FGCU,Murray St
Howard,Penn
Southern Utah,Bryant
Jacksonville St,Charlotte
Troy,Rider
E Michigan,Princeton
Auburn,Incarnate Word
NC State,Bowling Green
NJIT,Mercer
Memphis,Augusta
Stetson,Florida
FGCU,Princeton
Lamar,S Carolina St
N Colorado,NE Omaha
SMU,Monmouth NJ
Fordham,Seattle
Winthrop,Minnesota
Miami OH,Georgia
Bryant,Ga Southern
Penn,Georgia
Cal Baptist,UC Santa Barbara
Sam Houston St,SUNY Albany
American Univ,Charlotte
Duke,LIU Brooklyn
West Virginia,Temple
North Dakota,Murray St
Xavier,Virginia Tech
Detroit,Iowa St
Savannah St,St Peter's
Texas St,Coppin St
Fairfield,Lehigh
Washington St,Montana St
Nebraska,UTEP
Michigan St,PFW
Missouri KC,Holy Cross
Norfolk St,Houston
East Carolina,Connecticut
Maryland,NC State
Washington St,UT San Antonio
S Carolina St,Hofstra
St Mary's CA,Okla City
Duquesne,Northwestern
Oregon St,UNC Greensboro
American Univ,Howard
Kennesaw,Gonzaga
UC Davis,Tennessee St
Florida Intl,FL Atlantic
Idaho,Cal Poly
Wofford,Akron
Colorado,Bradley
Penn St,N Kentucky
Missouri KC,San Francisco
ULM,E Illinois
St Thomas MN,FL Atlantic
Seton Hall,Mercer
CS Northridge,Bethune-Cookman
UNC Greensboro,Alcorn St
Nebraska,Xavier
Lipscomb,Virginia Tech
Samford,Lindenwood
Lindenwood,FL Atlantic
Alabama,San Diego
Vermont,New Hampshire
Columbia,Stetson
Weber St,Montana St
Wright St,St Francis PA
E Kentucky,Southern Utah
E Washington,Ball St
St Mary's CA,Marshall
Michigan,California
Murray St,Harvard
Air Force,Mississippi
Wisconsin,S Dakota St
Quinnipiac,George Mason
Birmingham So,Utica
Creighton,Lindenwood
Cent Arkansas,Long Beach St
UMBC,West Virginia
Citadel,Florida A&M
South Carolina,Duke
Winthrop,Fresno St
Butler,Gardner Webb
Montana,Hawaii
Baylor,VCU
Marshall,Col Charleston
DePaul,UT Arlington
Boise St,FL Atlantic
VCU,W Salem St
S Dakota St,Bucknell
Colorado,New Mexico St
Canisius,NJIT
TN Martin,Navy
UTRGV,F Dickinson
Mt St Mary's,Rhode Island
Wofford,Sam Houston St
Longwood,San Francisco
St Francis PA,Pacific
Fordham,George Mason
UTRGV,SE Missouri St
Brown,W Illinois
LSU,Lafayette
Texas Tech,Villanova
Binghamton,Texas Tech
Tulane,CS Northridge
Lafayette,Seattle
Lehigh,Howard
Tennessee,Northern Iowa
Marist,Radford
W Michigan,W Carolina
UC Davis,Samford
Southern Miss,CS Northridge
West Georgia,Northern Arizona
Utah,Canisius
Armstrong St,Weber St
E Kentucky,UNC Asheville
Alabama,Massachusetts
UNC Greensboro,Mercyhurst
Chicago St,West Georgia
Louisiana Tech,Bowling Green
Weber St,W Michigan
Nebraska,Air Force
UTEP,Brooklyn
Queens NC,Sacred Heart
Michigan,California
W Carolina,Furman
Radford,Washington
Dayton,Weber St
Fairfield,Chicago St
Samford,Fairfield
Alabama St,Belmont
Rice,G Washington
USC,Wright St
McNeese St,Old Dominion
Mercer,St Francis NY
IUPUI,Fordham
Northeastern,Longwood
Lamar,Morgan St
N Dakota St,Hartford
Tennessee,Buffalo
NE Omaha,Coastal Car
TCU,UNC Wilmington
West Virginia,Harvard
Furman,Utah Valley
Central Conn,UTRGV
Oregon,New Hampshire
Oral Roberts,Morehead St
Lehigh,Wofford
Illinois,St John's
UC Irvine,NJIT
Bucknell,Notre Dame
St Mary's CA,Navy
N Illinois,Rider
Yale,Bryant
UTRGV,Prairie View
California,Penn
Manhattan,WI Milwaukee
Grambling,USC
Northeastern,Northwestern
Samford,Sacred Heart
St Francis NY,Morgan St
Kent,San Francisco
Cleveland St,Florida
TX Southern,Brown
Austin Peay,Radford
Nebraska,Louisville
UTRGV,Virginia Tech
Duke,Oklahoma St
Jacksonville,Illinois
Pacific,East Texas A&M
Lehigh,UT San Antonio
Chicago St,Air Force
Illinois St,Oregon
UCF,Tennessee Tech
Jackson St,Yale
Youngstown St,UC Irvine
Miami FL,Florida A&M
Augusta,Temple
Idaho,Cal Poly
Mississippi St,MA Lowell
Kansas St,E Washington
IL Chicago,Louisiana
Navy,UAB
Houston Chr,St Peter's
Utah St,Purdue
Fresno St,Florida Intl
San Jose St,St Peter's
Duquesne,Syracuse
FGCU,Monmouth NJ
Michigan St,Penn St
Florida Intl,Louisiana
St Joseph's PA,Penn
W Illinois,Iowa
Connecticut,Cal Poly
UCLA,Furman
NC A&T,Northern Iowa
UC San Diego,Nevada
Stony Brook,Alliant Intl
C Michigan,Massachusetts
N Kentucky,Ball St
W Texas A&M,Texas A&M
Michigan,Oklahoma St
Furman,Sam Houston St
Colorado,TX Southern
Northwestern LA,Texas Tech
La Salle,NC State
Maine,Texas A&M
W Carolina,NC State
Wisconsin,Cincinnati
Fresno St,St Joseph's PA
Stonehill,Wichita St
Utah Tech,Tulane
TAM C. Christi,Detroit
Georgetown,Vanderbilt
Northwestern LA,Florida Intl
Missouri St,Arizona
Lipscomb,Princeton
Wake Forest,Texas St
Utah,Radford
Creighton,San Jose St
Georgia Tech,Washington
Maryland,Houston
Vermont,S Dakota St
SE Missouri St,Brown
Towson,UT San Antonio
Idaho,Citadel
New Hampshire,Oklahoma St
Missouri St,Tennessee
Troy,Portland
Iowa,La Salle
William & Mary,Tennessee St
Loyola MD,Miami OH
DePaul,American Univ
Ohio,MD E Shore
UT Arlington,Colgate
Norfolk St,Missouri KC
Florida St,West Georgia
SE Louisiana,North Carolina
San Francisco,North Carolina
N Kentucky,CS Bakersfield
Air Force,West Virginia
Penn St,Florida St
Prairie View,Army
Utah Tech,VCU
James Madison,Alabama A&M
NC Central,Seattle
Memphis,Syracuse
MD E Shore,Buffalo
UAB,San Diego
Coppin St,WI Green Bay
UC Santa Barbara,Campbell
Savannah St,TN Martin
E Michigan,Illinois St
Presbyterian,Ohio St
Northwestern,LIU Brooklyn
Drexel,E Washington
Dayton,Ark Pine Bluff
Campbell,Oregon St
Bryant,Kennesaw
Akron,Florida Intl
Old Dominion,Charleston So
Loyola MD,USC
Hawaii,Seattle
Quinnipiac,Detroit
Jackson St,Notre Dame
Jackson St,Detroit
Okla City,Tulane
Morgan St,Valparaiso
Oral Roberts,New Orleans
SF Austin,Lehigh
Delaware St,Rice
Okla City,Idaho
UC Santa Barbara,Jackson St
Quinnipiac,Creighton
Denver,Air Force
NC State,CS Northridge
Cal Baptist,C Michigan
FGCU,Alabama St
High Point,Portland St
Kent,South Carolina
Kennesaw,Sacred Heart
New Mexico St,Boston College
Southern Utah,Montana
Oklahoma,Brown
St Francis PA,Colgate
Princeton,East Texas A&M
Tennessee Tech,Canisius
Dayton,East Carolina
N Illinois,Missouri KC
Alcorn St,Alabama A&M
Morgan St,Louisiana Tech
Missouri,Wake Forest
Grand Canyon,Cal Poly
Towson,TAM C. Christi
Central Conn,Ark Little Rock
Pepperdine,Detroit
PFW,Alabama A&M
San Diego,Penn
Boston Univ,San Francisco
Creighton,N Dakota St
Pepperdine,Lamar
New Mexico St,Morehead St
Seton Hall,Rider
UMBC,Michigan St
FGCU,Boise St
Michigan St,Utah Tech
W Carolina,Kansas
Texas Tech,McNeese St
Bellarmine,MA Lowell
G Washington,Yale
Southern Utah,Mississippi
E Michigan,Lamar
Miami FL,Stetson
Harvard,Bellarmine
Tulsa,Stetson
San Jose St,Miami FL
VMI,Penn
E Illinois,Idaho St
St Thomas MN,Cal Poly
Maryland,Yale
Loyola MD,Tennessee Tech
Rider,Idaho
ETSU,Morgan St
Xavier,Canisius
NC State,Montana St
Wake Forest,Radford
St Mary's CA,Furman
Liberty,Rider
Col Charleston,Alabama A&M
Buffalo,Rider
ULM,New Hampshire
UTEP,California
N Dakota St,Harvard
East Carolina,Georgetown
Oklahoma St,East Carolina
Utah Tech,Weber St
Old Dominion,NC A&T
Siena,W Illinois
Hartford,Bucknell
Hartford,Oregon St
Massachusetts,S Illinois
Air Force,ETSU
Duke,E Washington
Bucknell,Colorado St
CS Sacramento,Appalachian St
Northwestern LA,Utica
SE Missouri St,Wake Forest
Bethune-Cookman,Toledo
MS Valley St,Ga Southern
Syracuse,MA Lowell
Alabama A&M,S Illinois
Col Charleston,Georgia St
Houston Chr,Radford
Bethune-Cookman,Towson
Hartford,Cent Arkansas
Rhode Island,Georgia
Wofford,Bryant
Louisiana,Belmont
Weber St,NC Central
Le Moyne,Tulsa
NC Central,Mercyhurst
IUPUI,Boise St
Wright St,Valparaiso
East Texas A&M,Kentucky
Oklahoma St,San Diego
George Mason,SE Missouri St
Xavier,Columbia
UNC Wilmington,Southern Utah
Georgetown,Murray St
Okla City,McNeese St
Quinnipiac,Murray St
Virginia Tech,North Carolina
Delaware St,Nicholls St
Lindenwood,MA Lowell
Wofford,UNLV
TCU,Northeastern
Detroit,Vanderbilt
W Texas A&M,San Francisco
Montana,UC Riverside
Grambling,Niagara
Davidson,William & Mary
TN Martin,Miami OH
American Univ,UC Davis
Central Conn,New Orleans
Northwestern LA,Fairfield
Portland St,FL Atlantic
MS Valley St,Davidson
Seton Hall,Toledo
Cal Poly,Stetson
Stony Brook,WKU
North Alabama,Mercyhurst
Arizona,Hofstra
Siena,Southern Univ
Stony Brook,Cleveland St
NC A&T,Columbia
Georgetown,Stanford
Seton Hall,Gonzaga
CS Sacramento,Maryland
Alabama A&M,IL Chicago
Akron,Arkansas
Alabama St,NE Illinois
Jackson St,Wright St
Longwood,Texas St
Kentucky,Yale
Southern Miss,ETSU
Seton Hall,Tarleton St
Bradley,ULM
Missouri,Morgan St
UNC Wilmington,East Carolina
Alabama A&M,VCU
Mercer,Arizona
Southern Utah,New Orleans
Alcorn St,McNeese St
VCU,Tulane
Louisiana,Seattle
Cleveland St,UC Irvine
South Florida,Col Charleston
WKU,Hardin-Simmons
C Michigan,Wofford
NE Illinois,SIUE
Grand Canyon,Columbia
Utah Tech,Bryant
Temple,St John's
Pepperdine,Towson
TCU,Richmond
NJIT,Cincinnati
Cornell,Montana
Gonzaga,UNLV
Utica,St Thomas MN
South Dakota,Seattle
W Carolina,Colorado St
TAM C. Christi,Clemson
Alliant Intl,McNeese St
Oklahoma,Stony Brook
Weber St,Gardner Webb
North Florida,IUPUI
Detroit,Wyoming
Wofford,Canisius
Queens NC,Tulsa
Wagner,Creighton
E Washington,Oregon
Penn,Alabama
Louisiana Tech,Cincinnati
Kennesaw,E Washington
Alabama A&M,Gardner Webb
Fordham,Temple
S Dakota St,Kentucky
Stanford,Bowling Green
Old Dominion,Rhode Island
Montana,Villanova
NC Central,Ark Little Rock
Central Conn,Utah St
Wyoming,Michigan St
PFW,G Washington
Creighton,Valparaiso
Cincinnati,Quinnipiac
Bowling Green,Incarnate Word
E Washington,Birmingham So
Towson,Missouri St
Michigan St,Portland St
Rutgers,Oklahoma
Illinois,E Michigan
UMBC,Oklahoma St
Arkansas St,Evansville
Youngstown St,Akron
Southern Univ,E Michigan
Siena,Connecticut
Temple,TN Martin
NJIT,Arizona
Auburn,Stetson
East Carolina,UAB
Butler,Texas Tech
Alcorn St,TAM C. Christi
C Michigan,Texas
Hardin-Simmons,Wisconsin
Boston Univ,Ark Little Rock
Bradley,Lindenwood
Bethune-Cookman,Stanford
Tennessee Tech,Houston Chr
Southern Utah,NJIT
Iowa St,E Michigan
UNC Greensboro,Coppin St
MD E Shore,Northern Arizona
Brooklyn,Loyola-Chicago
Stony Brook,Notre Dame
Incarnate Word,North Dakota
Stanford,Campbell
Clemson,E Washington
Oklahoma St,Old Dominion
UT Arlington,Holy Cross
Nevada,IL Chicago
Boston Univ,Lafayette
Oklahoma,Mt St Mary's
UCLA,Akron
Purdue,Alabama St
New Mexico,Northern Arizona
Savannah St,S Dakota St
BYU,Kansas
St John's,Army
Incarnate Word,Evansville
TX Southern,Kent
Richmond,Massachusetts
Houston Chr,Buffalo
St Bonaventure,Temple
South Alabama,Binghamton
Butler,Alabama
Illinois,DePaul
TCU,Boston College
Wright St,Savannah St
Rice,St Peter's
UC Riverside,Hawaii
Illinois St,Southern Utah
Missouri St,Kansas St
WI Milwaukee,Rider
Jackson St,Monmouth NJ
Stetson,Old Dominion
Oregon,Robert Morris
Drexel,Monmouth NJ
San Francisco,Southern Univ
St Joseph's PA,Chattanooga
Tarleton St,Ark Pine Bluff
Troy,NE Omaha
Navy,E Michigan
St John's,Holy Cross
Wake Forest,Virginia Tech
Colorado St,Richmond
Columbia,NC A&T
Stanford,Duke
Miami FL,VCU
Delaware,Oral Roberts
Brooklyn,Lehigh
DePaul,Northeastern
Davidson,Idaho St
Stonehill,Armstrong St
UMBC,Quinnipiac
Maine,Lindenwood
Kent,Birmingham So
Charlotte,Colgate
Nevada,Georgia St
TAM C. Christi,W Illinois
E Illinois,Ohio St
New Mexico,Hawaii
Florida St,Bethune-Cookman
Wofford,Boise St
ETSU,Loy Marymount
Long Beach St,Louisiana Tech
Nicholls St,Citadel
Prairie View,Louisiana
Arizona,Maryland
Cent Arkansas,Appalachian St
SMU,MTSU
F Dickinson,Marist
Tennessee Tech,Portland St
Northeastern,Siena
Sam Houston St,Alcorn St
Kansas St,Stony Brook
Gonzaga,Lehigh
Utica,Lafayette
E Kentucky,St Joseph's PA
North Florida,Oklahoma
Boston College,San Diego St
Southern Miss,Santa Clara
Prairie View,TX Southern
Navy,Minnesota
Loy Marymount,Central Conn
Cincinnati,Rice
Southern Indiana,Cincinnati
Utah Valley,Tarleton St
Rider,NC A&T
Stony Brook,CS Bakersfield
Wagner,NJIT
SIUE,Ga Southern
Arkansas,SE Louisiana
Prairie View,Tulane
Alabama A&M,Ark Little Rock
Yale,E Washington
Longwood,West Virginia
TN Martin,Louisiana
SE Missouri St,Nevada
Oklahoma,Maine
Illinois,UC Riverside
ULM,Ark Little Rock
S Carolina St,Louisville
C Michigan,Savannah St
Mississippi St,Florida Intl
VCU,Penn St
SC Upstate,Arizona St
St John's,UAB
WI Milwaukee,Miami OH
Rider,Oklahoma
Arkansas,Nevada
Nebraska,Oklahoma St
Bryant,Bucknell
Kansas St,West Virginia
Providence,Wright St
Indiana St,Queens NC
East Texas A&M,Air Force
Jackson St,Winthrop
Northwestern,Harvard
Youngstown St,Nevada
Morgan St,Hawaii
